FirstName,LastName,PhoneNumber,Email,Password,Account,Amount
Anamol,Dhakal,9862328620,anmoldkl971@gmail.com,anmol1379,431069399,10000
Antony,Nicklin,9814797920,antonynicklin@gmail.com,antony1379,928840347,25000
Riya,Dhakal,9878234223,riya@gmail.com,riya1379,960757483,29000
Prateek,Chand,9862342422,prateekchand@gmail.com,prateek1379,257369899,107000
Shivam,Khadka,98522552325,shivam1379@gmail.com,shivam1379,885756234,47000
Sweing,Nakarmi,9783242342,nakarmi@gmail.com,nakarmi1379,323775170,96000
MD,Rajawl,98324242234,md@gmail.com,md1379,2343526543,32500
Riya,Dahal,9823244252,riya@gmail.com,riya1379,3246246252,63000
Meriska,Bista,982352135,meriska@gmail.com,meriska1379,352315153,38000
Rajiv,Kumar,982442452,rajiv@gmail.com,rajiv1379,197519992,38000
